,id,tweets
0,1052990000000000000.00,I liked a @YouTube video https://t.co/0Cv81NaeRM Unboxing the Google Pixel 3 with Stars
1,1052990000000000000.00,"How to strike a pose with Pixel 3: 

📸 Top Shot
🌙 Night Sight
🤳 Group Selfie Cam

Hitting shelves in the US today,… https://t.co/EwRELH83R0"
2,1052990000000000000.00,RT @BudgetEarth: #ad Have you heard the news? The new Google Pixel 3 phone from @BestBuy has an amazing camera &amp; unlimited free storage! Fr…
3,1052990000000000000.00,RT @EmilyReviewsCom: Buy 1 Google Pixel 3 or Google Pixel 3 XL and get one on Verizon! The Google Pixel 3 has a great camera with 'groupie…
4,1052990000000000000.00,Google Pixel 3 review: raising the bar for the Android experience - The Guardian https://t.co/J0fAxNuXp3
5,1052990000000000000.00,"How to strike a pose with Pixel 3: 

📸 Top Shot
🌙 Night Sight
🤳 Group Selfie Cam

Hitting shelves in the US today,… https://t.co/EiRndGwhN0"
6,1052990000000000000.00,"RT @PoeticCases: Ok Google fans, you can enter for a chance to win a #Google #Pixel3XL (Just Black, 128 GB, Unlocked) and a Poetic Google P…"
7,1052990000000000000.00,Strike a pose with Pixel 3 https://t.co/ezoFXYfpQq
8,1052990000000000000.00,"RT @Dennis_Lofgren: Just deleted Inbox by Gmail from my iPhone and I shed a tear.

R.I.P. @InboxByGmail. You were always better than regula…"
9,1052990000000000000.00,"RT @Google: How to strike a pose with Pixel 3: 

📸 Top Shot
🌙 Night Sight
🤳 Group Selfie Cam

Hitting shelves in the US today, here are 10…"
10,1052990000000000000.00,Google Pixel 3 and Speck bundle international giveaway @androidauth #giveaway https://t.co/CFMCO5Pk8a
11,1052990000000000000.00,RT @EmilyReviewsCom: Buy 1 Google Pixel 3 or Google Pixel 3 XL and get one on Verizon! The Google Pixel 3 has a great camera with 'groupie…
12,1052990000000000000.00,"RT @Google: How to strike a pose with Pixel 3: 

📸 Top Shot
🌙 Night Sight
🤳 Group Selfie Cam

Hitting shelves in the US today, here are 10…"
13,1052990000000000000.00,"CNET: Google Pixel 3 and 3 XL are now available.
https://t.co/Yf7pr2LhIa"
14,1052990000000000000.00,"RT @BudgetEarth: #ad Need a new phone? Say goodbye to your old phone with the new Google Pixel 3 &amp; Google Pixel 3 XL! Super fast, HUGe stor…"
15,1052990000000000000.00,Google Pixel 3 and Speck bundle international giveaway @androidauth #giveaway https://t.co/YaccMIAvgE
16,1052990000000000000.00,So tempted to buy this new Pixel 3
17,1052990000000000000.00,"RT @Google: How to strike a pose with Pixel 3: 

📸 Top Shot
🌙 Night Sight
🤳 Group Selfie Cam

Hitting shelves in the US today, here are 10…"
18,1052990000000000000.00,Google Pixel 3 and Speck bundle international giveaway! https://t.co/YaccMIAvgE
19,1052990000000000000.00,"RT @Google: How to strike a pose with Pixel 3: 

📸 Top Shot
🌙 Night Sight
🤳 Group Selfie Cam

Hitting shelves in the US today, here are 10…"
20,1052990000000000000.00,"RT @Massawyrm: THIS IS A FUCKING IPHONE GAME CHANGER AND MY LIFE WILL BE FOREVER BETTER WITH THIS ARCANE FUCKING KNOWLEDGE

https://t.co/pn…"
21,1052990000000000000.00,"RT @Google: How to strike a pose with Pixel 3: 

📸 Top Shot
🌙 Night Sight
🤳 Group Selfie Cam

Hitting shelves in the US today, here are 10…"
22,1052990000000000000.00,"RT @Google: How to strike a pose with Pixel 3: 

📸 Top Shot
🌙 Night Sight
🤳 Group Selfie Cam

Hitting shelves in the US today, here are 10…"
23,1052990000000000000.00,I liked a @YouTube video https://t.co/T4XGLbPeE6 Unboxing the Google Pixel 3 with Stars
24,1052990000000000000.00,"RT @Google: How to strike a pose with Pixel 3: 

📸 Top Shot
🌙 Night Sight
🤳 Group Selfie Cam

Hitting shelves in the US today, here are 10…"
25,1052990000000000000.00,@cirno9ball can you buy me a pink reguar pixel 3
26,1052990000000000000.00,"RT @PoeticCases: Ok Google fans, you can enter for a chance to win a #Google #Pixel3XL (Just Black, 128 GB, Unlocked) and a Poetic Google P…"
27,1052990000000000000.00,RT @Mohamme97760102: Google Pixel 3 and Speck bundle international giveaway @androidauth #giveaway https://t.co/sYsvUEFst2
28,1052990000000000000.00,"RT @Google: How to strike a pose with Pixel 3: 

📸 Top Shot
🌙 Night Sight
🤳 Group Selfie Cam

Hitting shelves in the US today, here are 10…"
29,1052990000000000000.00,"I didn't think the iPhone would even compare but it actually does well with video, where Pixel is remains ahead in… https://t.co/Arlehpe4l9"
